keyword,link,clicks,impressions,ctr(in %),position
dish tv dth,https://www.dishtv.in/,232,940,24.68,1.00
dishtv zing,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,232,401,57.86,1.01
dish tv free channel list without recharge,https://www.dishtv.in/pages/packs/basic-service-tier-packs.aspx,230,2705,8.50,3.36
dish tv customer care email id,https://www.dishtv.in/pages/contactus/contact-info.aspx,229,557,41.11,1.03
dish tv packages and prices,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,229,1099,20.84,4.53
dish tv aaj tak channel number,https://www.dishtv.in/channelguide/,228,1152,19.79,2.30
www dish tv,https://www.dishtv.in/,226,1001,22.58,1.19
www.dishtv.in login,https://www.dishtv.in/pages/welcome/jpmilesmember.aspx,225,6838,3.29,3.57
dish tv website,https://www.dishtv.in/,223,870,25.63,1.32
colors cineplex dish tv channel number,https://www.dishtv.in/channelguide/,221,602,36.71,1.08
zing super fta box official website,https://www.dishtv.in/Pages/Others/landing-pages/zing-super-campaign.aspx,221,648,34.10,1.48
dish tv work from home,https://www.dishtv.in/Pages/Others/Dishtv-freelance-jobs.aspx,219,306,71.57,1.05
tata sky customer care number,https://www.dishtv.in/pages/contactus/contact-info.aspx,219,3560,6.15,2.33
dish tv 3 month plan,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,218,484,45.04,1.10
dish tv customer service,https://www.dishtv.in/pages/contactus/contact-info.aspx,218,5845,3.73,3.16
dishtv recharge offers,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,218,726,30.03,2.34
zing super fta box hd,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,217,1918,11.31,6.28
dish tv channel add,https://www.dishtv.in/pages/packs/dth-channels-add-on-packs.aspx,216,487,44.35,1.00
www.dishtv.in login,https://www.dishtv.in/hi-in/pages/login.aspx,216,8340,2.59,2.27
dish tv live,https://www.dishtv.in/channelguide/top-tv-shows.aspx,215,1026,20.96,1.91
dish tv number,https://www.dishtv.in/help/default.aspx,214,4495,4.76,2.71
dishtv login,https://www.dishtv.in/pages/map.aspx,214,19148,1.12,1.40
dishtv. com,https://www.dishtv.in/,214,301,71.10,1.03
dish tv remote online,https://www.dishtv.in/pages/offers/universal-remote.aspx,211,937,22.52,1.93
dth customer care,https://www.dishtv.in/help/default.aspx,211,3300,6.39,3.32
www.dishtv.in,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,211,6527,3.23,1.00
zing digital,https://www.dishtv.in/pages/sociallogin.aspx,211,8042,2.62,6.08
